PDB_ID	Oligomer_type	Experimental_method	Resolution(Å)	Chain_ID	Uniprot_ID	Covered_residues	Coverage
2HRK	hetero_dimer	X-ray diffraction	2.05	A	P46655	190	0.27
2HRK	hetero_dimer	X-ray diffraction	2.05	B	P46672	121	0.324
2J1K	hetero_hexamer	X-ray diffraction	2.3	A	P78310	127	0.35
2J1K	hetero_hexamer	X-ray diffraction	2.3	B	P78310	127	0.35
2J1K	hetero_hexamer	X-ray diffraction	2.3	G	P78310	127	0.35
2J1K	hetero_hexamer	X-ray diffraction	2.3	J	P78310	127	0.35
2J1K	hetero_hexamer	X-ray diffraction	2.3	K	P78310	127	0.35
2J1K	hetero_hexamer	X-ray diffraction	2.3	O	P78310	127	0.35
2J1K	hetero_hexamer	X-ray diffraction	2.3	P	P78310	127	0.35
2J1K	hetero_hexamer	X-ray diffraction	2.3	T	P78310	127	0.35
2J1K	hetero_hexamer	X-ray diffraction	2.3	V	P78310	127	0.35
2J1K	hetero_hexamer	X-ray diffraction	2.3	X	P78310	127	0.35
2J1K	hetero_hexamer	X-ray diffraction	2.3	Y	P78310	127	0.35
2J1K	hetero_hexamer	X-ray diffraction	2.3	Z	P78310	127	0.35
2J1K	hetero_hexamer	X-ray diffraction	2.3	C	Q65914	185	0.343
2J1K	hetero_hexamer	X-ray diffraction	2.3	D	Q65914	185	0.343
2J1K	hetero_hexamer	X-ray diffraction	2.3	E	Q65914	185	0.343
2J1K	hetero_hexamer	X-ray diffraction	2.3	F	Q65914	185	0.343
2J1K	hetero_hexamer	X-ray diffraction	2.3	H	Q65914	185	0.343
2J1K	hetero_hexamer	X-ray diffraction	2.3	I	Q65914	185	0.343
2J1K	hetero_hexamer	X-ray diffraction	2.3	L	Q65914	185	0.343
2J1K	hetero_hexamer	X-ray diffraction	2.3	M	Q65914	185	0.343
2J1K	hetero_hexamer	X-ray diffraction	2.3	N	Q65914	185	0.343
2J1K	hetero_hexamer	X-ray diffraction	2.3	Q	Q65914	185	0.343
2J1K	hetero_hexamer	X-ray diffraction	2.3	R	Q65914	185	0.343
2J1K	hetero_hexamer	X-ray diffraction	2.3	S	Q65914	185	0.343
2OOB	hetero_dimer	X-ray diffraction	1.9	A	Q13191	49	0.051
2OOB	hetero_dimer	X-ray diffraction	1.9	B	P0CH28	75	0.11
3KUD	hetero_dimer	X-ray diffraction	2.15	A	P01112	165	0.878
3KUD	hetero_dimer	X-ray diffraction	2.15	B	P04049	80	0.125
3MZW	hetero_dimer	X-ray diffraction	2.9	A	P04626	623	0.506
3MZW	hetero_dimer	X-ray diffraction	2.9	B	P38507	57	0.123
3WWN	hetero_tetramer	X-ray diffraction	1.85	A	O50147	268	1.0
3WWN	hetero_tetramer	X-ray diffraction	1.85	B	Q9ZND7	53	1.0
4E6K	hetero_36-mer	X-ray diffraction	2.0	A	Q9HY79	157	1.0
4E6K	hetero_36-mer	X-ray diffraction	2.0	B	Q9HY79	157	1.0
4E6K	hetero_36-mer	X-ray diffraction	2.0	C	Q9HY79	157	1.0
4E6K	hetero_36-mer	X-ray diffraction	2.0	D	Q9HY79	157	1.0
4E6K	hetero_36-mer	X-ray diffraction	2.0	E	Q9HY79	157	1.0
4E6K	hetero_36-mer	X-ray diffraction	2.0	F	Q9HY79	157	1.0
4E6K	hetero_36-mer	X-ray diffraction	2.0	G	Q9HY80	72	1.0
4E6K	hetero_36-mer	X-ray diffraction	2.0	H	Q9HY80	72	1.0
4E6K	hetero_36-mer	X-ray diffraction	2.0	I	Q9HY80	72	1.0
4GNK	hetero_dimer	X-ray diffraction	4.0	A	P21279	352	0.983
4GNK	hetero_dimer	X-ray diffraction	4.0	C	P21279	352	0.983
4GNK	hetero_dimer	X-ray diffraction	4.0	B	Q01970	1224	0.993
4GNK	hetero_dimer	X-ray diffraction	4.0	D	Q01970	1224	0.993
4GNK	hetero_dimer	X-ray diffraction	4.0	E	Q01970	258	0.21
4NZW	hetero_dimer	X-ray diffraction	3.583	A	Q9Y376	326	0.959
4NZW	hetero_dimer	X-ray diffraction	3.583	B	O00506	292	0.688
5UFQ	hetero_dimer	X-ray diffraction	2.199	A	P01116	165	0.878
5UFQ	hetero_dimer	X-ray diffraction	2.199	B	P01116	165	0.878
5UFQ	hetero_dimer	X-ray diffraction	2.199	C	Not Mapped	Not Mapped	Not Mapped
5UFQ	hetero_dimer	X-ray diffraction	2.199	D	Not Mapped	Not Mapped	Not Mapped
1B2S	hetero_dimer	X-ray diffraction	1.82	A	P00648	109	0.894
1B2S	hetero_dimer	X-ray diffraction	1.82	B	P00648	109	0.894
1B2S	hetero_dimer	X-ray diffraction	1.82	C	P00648	109	0.894
1B2S	hetero_dimer	X-ray diffraction	1.82	D	P11540	89	1.0
1B2S	hetero_dimer	X-ray diffraction	1.82	E	P11540	89	1.0
1B2S	hetero_dimer	X-ray diffraction	1.82	F	P11540	89	1.0
1B2U	hetero_dimer	X-ray diffraction	2.1	A	P00648	109	0.894
1B2U	hetero_dimer	X-ray diffraction	2.1	B	P00648	109	0.894
1B2U	hetero_dimer	X-ray diffraction	2.1	C	P00648	109	0.894
1B2U	hetero_dimer	X-ray diffraction	2.1	D	P11540	89	1.0
1B2U	hetero_dimer	X-ray diffraction	2.1	E	P11540	89	1.0
1B2U	hetero_dimer	X-ray diffraction	2.1	F	P11540	89	1.0
1B3S	hetero_dimer	X-ray diffraction	2.39	A	P00648	109	0.894
1B3S	hetero_dimer	X-ray diffraction	2.39	B	P00648	109	0.894
1B3S	hetero_dimer	X-ray diffraction	2.39	C	P00648	109	0.894
1B3S	hetero_dimer	X-ray diffraction	2.39	D	P11540	89	1.0
1B3S	hetero_dimer	X-ray diffraction	2.39	E	P11540	89	1.0
1B3S	hetero_dimer	X-ray diffraction	2.39	F	P11540	89	1.0
1EFN	hetero_tetramer	X-ray diffraction	2.5	A	P06241	58	0.11
1EFN	hetero_tetramer	X-ray diffraction	2.5	C	P06241	58	0.11
1EFN	hetero_tetramer	X-ray diffraction	2.5	B	P03406	151	0.738
1EFN	hetero_tetramer	X-ray diffraction	2.5	D	P03406	151	0.738
1FY8	hetero_dimer	X-ray diffraction	1.7	E	P00763	230	0.991
1FY8	hetero_dimer	X-ray diffraction	1.7	I	P00974	57	0.734
1KAC	hetero_hexamer	X-ray diffraction	2.6	A	P36711	184	0.315
1KAC	hetero_hexamer	X-ray diffraction	2.6	B	P78310	123	0.358
1U7F	hetero_trimer	X-ray diffraction	2.6	A	P84022	197	0.466
1U7F	hetero_trimer	X-ray diffraction	2.6	C	P84022	197	0.466
1U7F	hetero_trimer	X-ray diffraction	2.6	B	Q13485	238	0.433
2A9K	hetero_dimer	X-ray diffraction	1.73	A	P11233	174	0.85
2A9K	hetero_dimer	X-ray diffraction	1.73	B	P15879	210	1.0
2GOX	hetero_dimer	X-ray diffraction	2.2	A	P01024	291	0.178
2GOX	hetero_dimer	X-ray diffraction	2.2	C	P01024	291	0.178
2GOX	hetero_dimer	X-ray diffraction	2.2	B	P68799	64	0.478
2GOX	hetero_dimer	X-ray diffraction	2.2	D	P68799	64	0.478
2HLE	hetero_dimer	X-ray diffraction	2.05	A	P54760	179	0.185
2HLE	hetero_dimer	X-ray diffraction	2.05	B	P52799	137	0.451
2I26	hetero_dimer	X-ray diffraction	2.5	N	Q8JGG7	83	0.778
2I26	hetero_dimer	X-ray diffraction	2.5	O	Q8JGG7	83	0.778
2I26	hetero_dimer	X-ray diffraction	2.5	P	Q8JGG7	83	0.778
2I26	hetero_dimer	X-ray diffraction	2.5	L	P00698	128	1.0
2I26	hetero_dimer	X-ray diffraction	2.5	M	P00698	128	1.0
2I26	hetero_dimer	X-ray diffraction	2.5	Q	P00698	128	1.0
2REX	hetero_dimer	X-ray diffraction	2.3	A	O43157	119	0.057
2REX	hetero_dimer	X-ray diffraction	2.3	C	O43157	119	0.057
2REX	hetero_dimer	X-ray diffraction	2.3	B	Q92730	195	0.845
2REX	hetero_dimer	X-ray diffraction	2.3	D	Q92730	195	0.845
2VIR	hetero_trimer	X-ray diffraction	3.25	A	Not Mapped	Not Mapped	Not Mapped
2VIR	hetero_trimer	X-ray diffraction	3.25	B	Q99LC4,Q99LC4,Q99LC4	110	0.477
2VIR	hetero_trimer	X-ray diffraction	3.25	C	P03437	281	0.513
3BP8	hetero_tetramer	X-ray diffraction	2.85	A	P50456	405	1.0
3BP8	hetero_tetramer	X-ray diffraction	2.85	B	P50456	405	1.0
3BP8	hetero_tetramer	X-ray diffraction	2.85	C	P69786	74	0.157
3BP8	hetero_tetramer	X-ray diffraction	2.85	D	P69786	74	0.157
3G6D	hetero_trimer	X-ray diffraction	3.2	L	Not Mapped	Not Mapped	Not Mapped
3G6D	hetero_trimer	X-ray diffraction	3.2	H	Not Mapped	Not Mapped	Not Mapped
3G6D	hetero_trimer	X-ray diffraction	3.2	A	P35225	111	0.918
3LZF	hetero_dodecamer	X-ray diffraction	2.8	A	Q9WFX3	326	0.596
3LZF	hetero_dodecamer	X-ray diffraction	2.8	B	Q9WFX3	175	0.321
3LZF	hetero_dodecamer	X-ray diffraction	2.8	H	Not Mapped	Not Mapped	Not Mapped
3LZF	hetero_dodecamer	X-ray diffraction	2.8	L	Not Mapped	Not Mapped	Not Mapped
3NVN	hetero_dimer	X-ray diffraction	2.26	A	Q8JL80	384	1.0
3NVN	hetero_dimer	X-ray diffraction	2.26	B	O60486	472	0.308
3NVQ	hetero_tetramer	X-ray diffraction	2.4	A	O75326	589	0.949
3NVQ	hetero_tetramer	X-ray diffraction	2.4	E	O75326	589	0.949
3NVQ	hetero_tetramer	X-ray diffraction	2.4	B	O60486	472	0.308
3NVQ	hetero_tetramer	X-ray diffraction	2.4	F	O60486	472	0.308
4G2V	hetero_dimer	X-ray diffraction	2.4	A	Q8VDU0	335	0.495
4G2V	hetero_dimer	X-ray diffraction	2.4	B	Q5SYB0	37	0.024
4GXU	hetero_dodecamer	X-ray diffraction	3.294	A	Q9WFX3	326	0.596
4GXU	hetero_dodecamer	X-ray diffraction	3.294	C	Q9WFX3	326	0.596
4GXU	hetero_dodecamer	X-ray diffraction	3.294	E	Q9WFX3	326	0.596
4GXU	hetero_dodecamer	X-ray diffraction	3.294	G	Q9WFX3	326	0.596
4GXU	hetero_dodecamer	X-ray diffraction	3.294	I	Q9WFX3	326	0.596
4GXU	hetero_dodecamer	X-ray diffraction	3.294	K	Q9WFX3	326	0.596
4GXU	hetero_dodecamer	X-ray diffraction	3.294	B	Q9WFX3	175	0.321
4GXU	hetero_dodecamer	X-ray diffraction	3.294	D	Q9WFX3	175	0.321
4GXU	hetero_dodecamer	X-ray diffraction	3.294	F	Q9WFX3	175	0.321
4GXU	hetero_dodecamer	X-ray diffraction	3.294	H	Q9WFX3	175	0.321
4GXU	hetero_dodecamer	X-ray diffraction	3.294	J	Q9WFX3	175	0.321
4GXU	hetero_dodecamer	X-ray diffraction	3.294	L	Q9WFX3	175	0.321
4GXU	hetero_dodecamer	X-ray diffraction	3.294	M	Not Mapped	Not Mapped	Not Mapped
4GXU	hetero_dodecamer	X-ray diffraction	3.294	O	Not Mapped	Not Mapped	Not Mapped
4GXU	hetero_dodecamer	X-ray diffraction	3.294	Q	Not Mapped	Not Mapped	Not Mapped
4GXU	hetero_dodecamer	X-ray diffraction	3.294	S	Not Mapped	Not Mapped	Not Mapped
4GXU	hetero_dodecamer	X-ray diffraction	3.294	U	Not Mapped	Not Mapped	Not Mapped
4GXU	hetero_dodecamer	X-ray diffraction	3.294	W	Not Mapped	Not Mapped	Not Mapped
4GXU	hetero_dodecamer	X-ray diffraction	3.294	N	Not Mapped	Not Mapped	Not Mapped
4GXU	hetero_dodecamer	X-ray diffraction	3.294	P	Not Mapped	Not Mapped	Not Mapped
4GXU	hetero_dodecamer	X-ray diffraction	3.294	R	Not Mapped	Not Mapped	Not Mapped
4GXU	hetero_dodecamer	X-ray diffraction	3.294	T	Not Mapped	Not Mapped	Not Mapped
4GXU	hetero_dodecamer	X-ray diffraction	3.294	V	Not Mapped	Not Mapped	Not Mapped
4GXU	hetero_dodecamer	X-ray diffraction	3.294	X	Not Mapped	Not Mapped	Not Mapped
4KRL	hetero_dimer	X-ray diffraction	2.849	B	Not Mapped	Not Mapped	Not Mapped
4KRL	hetero_dimer	X-ray diffraction	2.849	A	P00533	203	0.172
4KRO	hetero_tetramer	X-ray diffraction	3.054	A	P00533	617	0.521
4KRO	hetero_tetramer	X-ray diffraction	3.054	B	Not Mapped	Not Mapped	Not Mapped
4KRO	hetero_tetramer	X-ray diffraction	3.054	C	Not Mapped	Not Mapped	Not Mapped
4KRO	hetero_tetramer	X-ray diffraction	3.054	D	Not Mapped	Not Mapped	Not Mapped
4MNQ	hetero_pentamer	X-ray diffraction	2.742	A	P04439	274	0.806
4MNQ	hetero_pentamer	X-ray diffraction	2.742	B	P61769	98	1.0
4MNQ	hetero_pentamer	X-ray diffraction	2.742	C	O14746	8	0.008
4MNQ	hetero_pentamer	X-ray diffraction	2.742	D	H2RG00,K7N5N2	88	0.43
4MNQ	hetero_pentamer	X-ray diffraction	2.742	E	P01850	128	0.733
4RA0	hetero_tetramer	X-ray diffraction	3.07	A	Q14393	400	0.619
4RA0	hetero_tetramer	X-ray diffraction	3.07	B	Q14393	400	0.619
4RA0	hetero_tetramer	X-ray diffraction	3.07	C	P30530	194	0.224
4RA0	hetero_tetramer	X-ray diffraction	3.07	D	P30530	194	0.224
4U6H	hetero_trimer	X-ray diffraction	3.1	A	Not Mapped	Not Mapped	Not Mapped
4U6H	hetero_trimer	X-ray diffraction	3.1	C	Not Mapped	Not Mapped	Not Mapped
4U6H	hetero_trimer	X-ray diffraction	3.1	B	Not Mapped	Not Mapped	Not Mapped
4U6H	hetero_trimer	X-ray diffraction	3.1	D	Not Mapped	Not Mapped	Not Mapped
4U6H	hetero_trimer	X-ray diffraction	3.1	E	P07612	183	0.736
4U6H	hetero_trimer	X-ray diffraction	3.1	J	P07612	183	0.736
4WND	hetero_dimer	X-ray diffraction	1.5	A	P81274	401	0.588
4WND	hetero_dimer	X-ray diffraction	1.5	B	Q14CM0	47	0.036
4Y61	hetero_dimer	X-ray diffraction	3.358	A	Q64487	390	0.207
4Y61	hetero_dimer	X-ray diffraction	3.358	B	Q810C0	265	0.297
4ZS6	hetero_trimer	X-ray diffraction	3.166	D	Not Mapped	Not Mapped	Not Mapped
4ZS6	hetero_trimer	X-ray diffraction	3.166	L	Not Mapped	Not Mapped	Not Mapped
4ZS6	hetero_trimer	X-ray diffraction	3.166	C	Not Mapped	Not Mapped	Not Mapped
4ZS6	hetero_trimer	X-ray diffraction	3.166	H	Not Mapped	Not Mapped	Not Mapped
4ZS6	hetero_trimer	X-ray diffraction	3.166	A	W6A0A7	222	0.165
4ZS6	hetero_trimer	X-ray diffraction	3.166	B	W6A0A7	222	0.165
5CYK	hetero_dimer	X-ray diffraction	3.0	A	G0SFB5	494	1.0
5CYK	hetero_dimer	X-ray diffraction	3.0	B	G0SCK6	368	0.461
1CSO	hetero_dimer	X-ray diffraction	1.9	E	P00777	184	0.709
1CSO	hetero_dimer	X-ray diffraction	1.9	I	P68390	50	0.276
1CT0	hetero_dimer	X-ray diffraction	1.8	E	P00777	184	0.709
1CT0	hetero_dimer	X-ray diffraction	1.8	I	P68390	50	0.276
1CT2	hetero_dimer	X-ray diffraction	1.65	E	P00777	184	0.709
1CT2	hetero_dimer	X-ray diffraction	1.65	I	P68390	50	0.276
1CT4	hetero_dimer	X-ray diffraction	1.6	E	P00777	184	0.709
1CT4	hetero_dimer	X-ray diffraction	1.6	I	P68390	50	0.276
1CZ8	hetero_hexamer	X-ray diffraction	2.4	V	P15692	93	0.238
1CZ8	hetero_hexamer	X-ray diffraction	2.4	W	P15692	93	0.238
1CZ8	hetero_hexamer	X-ray diffraction	2.4	L	Not Mapped	Not Mapped	Not Mapped
1CZ8	hetero_hexamer	X-ray diffraction	2.4	X	Not Mapped	Not Mapped	Not Mapped
1CZ8	hetero_hexamer	X-ray diffraction	2.4	H	Not Mapped	Not Mapped	Not Mapped
1CZ8	hetero_hexamer	X-ray diffraction	2.4	Y	Not Mapped	Not Mapped	Not Mapped
1F5R	hetero_dimer	X-ray diffraction	1.65	A	P00763	229	0.991
1F5R	hetero_dimer	X-ray diffraction	1.65	I	P00974	64	0.823
1FR2	hetero_dimer	X-ray diffraction	1.6	A	P13479	85	1.0
1FR2	hetero_dimer	X-ray diffraction	1.6	B	P09883	132	0.229
1GL0	hetero_dimer	X-ray diffraction	3.0	E	P00766	244	1.0
1GL0	hetero_dimer	X-ray diffraction	3.0	I	P80060	34	0.479
1GL1	hetero_dimer	X-ray diffraction	2.1	A	P00766	244	1.0
1GL1	hetero_dimer	X-ray diffraction	2.1	B	P00766	244	1.0
1GL1	hetero_dimer	X-ray diffraction	2.1	C	P00766	244	1.0
1GL1	hetero_dimer	X-ray diffraction	2.1	I	P80060	35	0.493
1GL1	hetero_dimer	X-ray diffraction	2.1	J	P80060	35	0.493
1GL1	hetero_dimer	X-ray diffraction	2.1	K	P80060	35	0.493
1GRN	hetero_dimer	X-ray diffraction	2.1	A	P60953	190	1.0
1GRN	hetero_dimer	X-ray diffraction	2.1	B	Q07960	202	0.462
1HE8	hetero_dimer	X-ray diffraction	3.0	A	P48736	958	0.87
1HE8	hetero_dimer	X-ray diffraction	3.0	B	P01112	165	0.878
1KIP	hetero_trimer	X-ray diffraction	2.1	A	P01635	94	1.0
1KIP	hetero_trimer	X-ray diffraction	2.1	B	Not Mapped	Not Mapped	Not Mapped
1KIP	hetero_trimer	X-ray diffraction	2.1	C	P00698	128	1.0
1KIQ	hetero_trimer	X-ray diffraction	1.85	A	P01635	94	1.0
1KIQ	hetero_trimer	X-ray diffraction	1.85	B	Not Mapped	Not Mapped	Not Mapped
1KIQ	hetero_trimer	X-ray diffraction	1.85	C	P00698	128	1.0
1KIR	hetero_trimer	X-ray diffraction	2.0	A	Not Mapped	Not Mapped	Not Mapped
1KIR	hetero_trimer	X-ray diffraction	2.0	B	P01820	95	1.0
1KIR	hetero_trimer	X-ray diffraction	2.0	C	P00698	128	1.0
1M9E	hetero_dimer	X-ray diffraction	1.72	A	P62937	163	0.994
1M9E	hetero_dimer	X-ray diffraction	1.72	B	P62937	163	0.994
1M9E	hetero_dimer	X-ray diffraction	1.72	C	Q72497	145	0.292
1M9E	hetero_dimer	X-ray diffraction	1.72	D	Q72497	145	0.292
1P69	hetero_dimer	X-ray diffraction	3.1	A	P36711	184	0.315
1P69	hetero_dimer	X-ray diffraction	3.1	B	P78310	122	0.355
1P6A	hetero_dimer	X-ray diffraction	2.9	A	P36711	184	0.315
1P6A	hetero_dimer	X-ray diffraction	2.9	B	P78310	122	0.355
1QSE	hetero_pentamer	X-ray diffraction	2.8	A	P04439	273	0.804
1QSE	hetero_pentamer	X-ray diffraction	2.8	B	P61769	99	1.0
1QSE	hetero_pentamer	X-ray diffraction	2.8	C	Not Mapped	Not Mapped	Not Mapped
1QSE	hetero_pentamer	X-ray diffraction	2.8	D	Not Mapped	Not Mapped	Not Mapped
1QSE	hetero_pentamer	X-ray diffraction	2.8	E	Not Mapped	Not Mapped	Not Mapped
1REW	hetero_tetramer	X-ray diffraction	1.863	A	P12643	113	0.306
1REW	hetero_tetramer	X-ray diffraction	1.863	B	P12643	113	0.306
1REW	hetero_tetramer	X-ray diffraction	1.863	C	P36894	128	0.253
1REW	hetero_tetramer	X-ray diffraction	1.863	D	P36894	128	0.253
1S0W	hetero_dimer	X-ray diffraction	2.3	A	P62593	262	1.0
1S0W	hetero_dimer	X-ray diffraction	2.3	B	P62593	262	1.0
1S0W	hetero_dimer	X-ray diffraction	2.3	C	P35804	164	1.0
1S0W	hetero_dimer	X-ray diffraction	2.3	D	P35804	164	1.0
1SBN	hetero_dimer	X-ray diffraction	2.1	E	P00782	274	0.781
1SBN	hetero_dimer	X-ray diffraction	2.1	I	P01051	69	1.0
1SGD	hetero_dimer	X-ray diffraction	1.8	E	P00777	184	0.709
1SGD	hetero_dimer	X-ray diffraction	1.8	I	P68390	50	0.276
1SGE	hetero_dimer	X-ray diffraction	1.8	E	P00777	184	0.709
1SGE	hetero_dimer	X-ray diffraction	1.8	I	P68390	50	0.276
1SGN	hetero_dimer	X-ray diffraction	1.8	E	P00777	184	0.709
1SGN	hetero_dimer	X-ray diffraction	1.8	I	P68390	50	0.276
1SGP	hetero_dimer	X-ray diffraction	1.4	E	P00777	184	0.709
1SGP	hetero_dimer	X-ray diffraction	1.4	I	P68390	50	0.276
1SGQ	hetero_dimer	X-ray diffraction	1.9	E	P00777	184	0.709
1SGQ	hetero_dimer	X-ray diffraction	1.9	I	P68390	50	0.276
1SGY	hetero_dimer	X-ray diffraction	1.8	E	P00777	184	0.709
1SGY	hetero_dimer	X-ray diffraction	1.8	I	P68390	50	0.276
1SIB	hetero_dimer	X-ray diffraction	2.4	E	P00782	274	0.781
1SIB	hetero_dimer	X-ray diffraction	2.4	I	P01051	69	1.0
1TM3	hetero_dimer	X-ray diffraction	1.57	E	P00782	274	0.781
1TM3	hetero_dimer	X-ray diffraction	1.57	I	Q40059	63	0.762
1TM4	hetero_dimer	X-ray diffraction	1.7	E	P00782	274	0.781
1TM4	hetero_dimer	X-ray diffraction	1.7	I	Q40059	63	0.762
1TM5	hetero_dimer	X-ray diffraction	1.45	E	P00782	274	0.781
1TM5	hetero_dimer	X-ray diffraction	1.45	I	Q40059	63	0.762
1TM7	hetero_dimer	X-ray diffraction	1.59	E	P00782	274	0.781
1TM7	hetero_dimer	X-ray diffraction	1.59	I	Q40059	63	0.762
1TMG	hetero_dimer	X-ray diffraction	1.67	E	P00782	274	0.781
1TMG	hetero_dimer	X-ray diffraction	1.67	I	Q40059	63	0.762
1TO1	hetero_dimer	X-ray diffraction	1.68	E	P00782	274	0.781
1TO1	hetero_dimer	X-ray diffraction	1.68	I	Q40059	63	0.762
1X1W	hetero_dimer	X-ray diffraction	2.1	A	P00648	109	0.894
1X1W	hetero_dimer	X-ray diffraction	2.1	B	P00648	109	0.894
1X1W	hetero_dimer	X-ray diffraction	2.1	C	P00648	109	0.894
1X1W	hetero_dimer	X-ray diffraction	2.1	D	P11540	89	1.0
1X1W	hetero_dimer	X-ray diffraction	2.1	E	P11540	89	1.0
1X1W	hetero_dimer	X-ray diffraction	2.1	F	P11540	89	1.0
1X1X	hetero_dimer	X-ray diffraction	2.3	A	P00648	109	0.894
1X1X	hetero_dimer	X-ray diffraction	2.3	B	P00648	109	0.894
1X1X	hetero_dimer	X-ray diffraction	2.3	C	P00648	109	0.894
1X1X	hetero_dimer	X-ray diffraction	2.3	D	P11540	88	0.989
1X1X	hetero_dimer	X-ray diffraction	2.3	E	P11540	88	0.989
1X1X	hetero_dimer	X-ray diffraction	2.3	F	P11540	88	0.989
1Y1K	hetero_dimer	X-ray diffraction	1.56	E	P00782	274	0.781
1Y1K	hetero_dimer	X-ray diffraction	1.56	I	Q40059	63	0.762
1Y33	hetero_dimer	X-ray diffraction	1.8	E	P00782	274	0.781
1Y33	hetero_dimer	X-ray diffraction	1.8	I	Q40059	63	0.762
1Y34	hetero_dimer	X-ray diffraction	1.55	E	P00782	274	0.781
1Y34	hetero_dimer	X-ray diffraction	1.55	I	Q40059	63	0.762
1Y3B	hetero_dimer	X-ray diffraction	1.8	E	P00782	274	0.781
1Y3B	hetero_dimer	X-ray diffraction	1.8	I	Q40059	63	0.762
1Y3C	hetero_dimer	X-ray diffraction	1.69	E	P00782	274	0.781
1Y3C	hetero_dimer	X-ray diffraction	1.69	I	Q40059	63	0.762
1Y3D	hetero_dimer	X-ray diffraction	1.8	E	P00782	274	0.781
1Y3D	hetero_dimer	X-ray diffraction	1.8	I	Q40059	63	0.762
1Y48	hetero_dimer	X-ray diffraction	1.84	E	P00782	274	0.781
1Y48	hetero_dimer	X-ray diffraction	1.84	I	Q40059	63	0.762
1YCS	hetero_dimer	X-ray diffraction	2.2	A	P04637	198	0.506
1YCS	hetero_dimer	X-ray diffraction	2.2	B	Q13625,Q13625	202	0.21
1YQV	hetero_trimer	X-ray diffraction	1.7	L	Not Mapped	Not Mapped	Not Mapped
1YQV	hetero_trimer	X-ray diffraction	1.7	H	Not Mapped	Not Mapped	Not Mapped
1YQV	hetero_trimer	X-ray diffraction	1.7	Y	P00698	128	1.0
2B0Z	hetero_dimer	X-ray diffraction	2.7	A	P00431	293	0.814
2B0Z	hetero_dimer	X-ray diffraction	2.7	B	P00044	107	0.991
2B10	hetero_dimer	X-ray diffraction	2.8	A	P00431	293	0.814
2B10	hetero_dimer	X-ray diffraction	2.8	C	P00431	293	0.814
2B10	hetero_dimer	X-ray diffraction	2.8	B	P00044	107	0.991
2B10	hetero_dimer	X-ray diffraction	2.8	D	P00044	107	0.991
2B11	hetero_dimer	X-ray diffraction	2.3	A	P00431	293	0.814
2B11	hetero_dimer	X-ray diffraction	2.3	C	P00431	293	0.814
2B11	hetero_dimer	X-ray diffraction	2.3	B	P00044	107	0.991
2B11	hetero_dimer	X-ray diffraction	2.3	D	P00044	107	0.991
2B12	hetero_dimer	X-ray diffraction	3.02	A	P00431	293	0.814
2B12	hetero_dimer	X-ray diffraction	3.02	B	P00044	107	0.991
2BNQ	hetero_pentamer	X-ray diffraction	1.7	A	P04439	274	0.806
2BNQ	hetero_pentamer	X-ray diffraction	1.7	B	P61769	98	1.0
2BNQ	hetero_pentamer	X-ray diffraction	1.7	C	P78358	7	0.044
2BNQ	hetero_pentamer	X-ray diffraction	1.7	D	P01848,A0A0B4J279	91	0.989
2BNQ	hetero_pentamer	X-ray diffraction	1.7	E	P01850,A0A0K0K1A5	92	1.0
2E7L	hetero_tetramer	X-ray diffraction	2.5	A	A2NTU7	111	0.452
2E7L	hetero_tetramer	X-ray diffraction	2.5	B	A2NTU7	111	0.452
2E7L	hetero_tetramer	X-ray diffraction	2.5	C	A2NTY6	109	0.956
2E7L	hetero_tetramer	X-ray diffraction	2.5	D	A2NTY6	109	0.956
2E7L	hetero_tetramer	X-ray diffraction	2.5	E	P01897	180	0.536
2E7L	hetero_tetramer	X-ray diffraction	2.5	F	P01897	180	0.536
2E7L	hetero_tetramer	X-ray diffraction	2.5	P	Not Mapped	Not Mapped	Not Mapped
2E7L	hetero_tetramer	X-ray diffraction	2.5	Q	Not Mapped	Not Mapped	Not Mapped
2G2W	hetero_dimer	X-ray diffraction	1.8	A	P0AD64	264	1.0
2G2W	hetero_dimer	X-ray diffraction	1.8	B	P35804	164	1.0
2GYK	hetero_dimer	X-ray diffraction	1.6	A	P13479	85	1.0
2GYK	hetero_dimer	X-ray diffraction	1.6	E	P13479	85	1.0
2GYK	hetero_dimer	X-ray diffraction	1.6	B	P09883	132	0.229
2GYK	hetero_dimer	X-ray diffraction	1.6	F	P09883	132	0.229
2J12	hetero_hexamer	X-ray diffraction	1.5	A	Q80S15	193	0.924
2J12	hetero_hexamer	X-ray diffraction	1.5	B	P78310	127	0.35
2J8U	hetero_pentamer	X-ray diffraction	2.88	A	P04439	274	0.806
2J8U	hetero_pentamer	X-ray diffraction	2.88	H	P04439	274	0.806
2J8U	hetero_pentamer	X-ray diffraction	2.88	B	P61769	98	1.0
2J8U	hetero_pentamer	X-ray diffraction	2.88	I	P61769	98	1.0
2J8U	hetero_pentamer	X-ray diffraction	2.88	C	Q9NPA0	8	0.0
2J8U	hetero_pentamer	X-ray diffraction	2.88	J	Q9NPA0	8	0.0
2J8U	hetero_pentamer	X-ray diffraction	2.88	E	P01849	78	0.581
2J8U	hetero_pentamer	X-ray diffraction	2.88	L	P01849	78	0.581
2J8U	hetero_pentamer	X-ray diffraction	2.88	F	P04213	112	0.983
2J8U	hetero_pentamer	X-ray diffraction	2.88	M	P04213	112	0.983
